experiment,class,precision_seed0,precision_seed1,precision_seed2,recall_seed0,recall_seed1,recall_seed2,map50_seed0,map50_seed1,map50_seed2,map50_95_seed0,map50_95_seed1,map50_95_seed2,aps,apm,apl
A0,echinus,0.867,0.865,0.876,0.870,0.861,0.875,0.923,0.910,0.916,0.538,0.532,0.533,NA,NA,NA
A0,starfish,0.834,0.812,0.835,0.808,0.816,0.804,0.880,0.879,0.885,0.539,0.539,0.547,NA,NA,NA
A0,holothurian,0.776,0.765,0.777,0.658,0.662,0.674,0.742,0.723,0.731,0.415,0.407,0.408,NA,NA,NA
A0,scallop,0.842,0.827,0.845,0.739,0.732,0.753,0.835,0.827,0.832,0.508,0.509,0.509,NA,NA,NA
A1,echinus,0.881,0.856,0.861,0.863,0.875,0.867,0.909,0.912,0.902,0.523,0.529,0.523,NA,NA,NA
A1,starfish,0.826,0.842,0.841,0.786,0.795,0.812,0.868,0.875,0.876,0.534,0.536,0.540,NA,NA,NA
A1,holothurian,0.794,0.790,0.790,0.660,0.681,0.664,0.730,0.738,0.727,0.413,0.414,0.414,NA,NA,NA
A1,scallop,0.873,0.840,0.849,0.740,0.750,0.755,0.836,0.828,0.835,0.518,0.507,0.517,NA,NA,NA
A2,echinus,0.869,0.879,0.867,0.858,0.857,0.856,0.905,0.906,0.903,0.530,0.528,0.523,NA,NA,NA
A2,starfish,0.831,0.849,0.822,0.807,0.815,0.807,0.873,0.882,0.876,0.532,0.541,0.534,NA,NA,NA
A2,holothurian,0.794,0.763,0.775,0.659,0.673,0.662,0.730,0.735,0.738,0.411,0.410,0.421,NA,NA,NA
A2,scallop,0.845,0.845,0.846,0.755,0.766,0.741,0.836,0.840,0.833,0.521,0.523,0.511,NA,NA,NA
A3,echinus,0.867,0.877,0.858,0.862,0.871,0.878,0.908,0.913,0.910,0.533,0.533,0.526,NA,NA,NA
A3,starfish,0.817,0.820,0.814,0.827,0.813,0.825,0.877,0.869,0.879,0.539,0.535,0.537,NA,NA,NA
A3,holothurian,0.780,0.770,0.769,0.671,0.672,0.679,0.735,0.722,0.723,0.414,0.410,0.413,NA,NA,NA
A3,scallop,0.822,0.844,0.815,0.757,0.762,0.763,0.833,0.839,0.829,0.512,0.518,0.516,NA,NA,NA
A4,echinus,0.873,0.856,0.857,0.871,0.875,0.869,0.915,0.911,0.913,0.530,0.527,0.527,NA,NA,NA
A4,starfish,0.833,0.817,0.795,0.808,0.815,0.825,0.881,0.875,0.873,0.538,0.539,0.534,NA,NA,NA
A4,holothurian,0.791,0.774,0.732,0.669,0.684,0.697,0.730,0.738,0.733,0.410,0.416,0.414,NA,NA,NA
A4,scallop,0.844,0.834,0.817,0.740,0.751,0.755,0.829,0.833,0.834,0.513,0.517,0.515,NA,NA,NA
A5,echinus,0.871,0.870,0.876,0.871,0.868,0.865,0.910,0.911,0.910,0.524,0.533,0.525,NA,NA,NA
A5,starfish,0.820,0.839,0.834,0.818,0.814,0.815,0.876,0.876,0.877,0.543,0.539,0.537,NA,NA,NA
A5,holothurian,0.790,0.774,0.788,0.676,0.670,0.668,0.728,0.714,0.725,0.409,0.404,0.406,NA,NA,NA
A5,scallop,0.854,0.828,0.840,0.755,0.753,0.747,0.840,0.830,0.832,0.521,0.509,0.513,NA,NA,NA
A6,echinus,0.849,0.887,0.887,0.874,0.864,0.855,0.912,0.913,0.913,0.531,0.529,0.534,NA,NA,NA
A6,starfish,0.822,0.834,0.826,0.819,0.815,0.789,0.880,0.876,0.866,0.535,0.537,0.542,NA,NA,NA
A6,holothurian,0.799,0.796,0.806,0.661,0.661,0.663,0.730,0.732,0.735,0.408,0.415,0.415,NA,NA,NA
A6,scallop,0.820,0.853,0.863,0.749,0.766,0.746,0.835,0.838,0.828,0.517,0.522,0.509,NA,NA,NA
A7,echinus,0.876,0.878,0.878,0.862,0.858,0.860,0.911,0.915,0.906,0.532,0.529,0.521,NA,NA,NA
A7,starfish,0.825,0.813,0.827,0.813,0.822,0.815,0.874,0.879,0.878,0.536,0.536,0.536,NA,NA,NA
A7,holothurian,0.786,0.792,0.788,0.659,0.652,0.664,0.718,0.732,0.718,0.399,0.413,0.401,NA,NA,NA
A7,scallop,0.862,0.823,0.848,0.756,0.765,0.758,0.833,0.830,0.828,0.514,0.518,0.517,NA,NA,NA
